accession	domain	order	family	genus	species	name	locus
GCF_001013905.1	Bac	85011	2062	1883	1437453	Streptomyces_leeuwenhoekii	['NZ_LN831790', 'NZ_LN831788', 'NZ_LN831789']
GCF_000092585.1	Bac	2085	2092	2093	2096	Mycoplasma_gallisepticum	['NC_004829']
GCF_003443835.1	Bac	91347	543	570	1463165	Klebsiella_quasipneumoniae	['NZ_CP031257', 'NZ_CP031258', 'NZ_CP031259', 'NZ_CP031260', 'NZ_CP031261', 'NZ_CP031262']
GCF_000612965.1	Bac	356	772	773	38323	Bartonella_henselae	['NZ_HG965802']
GCF_003568565.1	Bac	1385	186817	1386	1396	Bacillus_cereus	['NZ_CP023245', 'NZ_CP023246']
GCF_000626695.2	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_CP007360']
GCF_001267195.1	Bac	72274	135621	1849530	1697053	Oblitimonas_alkaliphila	['NZ_CP012359']
GCF_000486585.2	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_CP019192', 'NZ_CP019193']
GCF_002448155.1	Bac	85007	1762	1763	1773	Mycobacterium_tuberculosis	['NZ_CP023637']
GCF_003425505.1	Bac	135625	712	724	727	Haemophilus_influenzae	['NZ_CP031681']
GCF_001562215.1	Bac	135614	32033	40323	1793721	Stenotrophomonas_sp._KCTC_12332	['NZ_CP014274']
GCF_001516385.1	Bac	72274	135621	286	287	Pseudomonas_aeruginosa	['NZ_CP008863']
GCF_001412535.1	Bac	80840	80864	665874	1678128	Limnohabitans_sp._63ED37-2	['NZ_CP011774']
GCF_000757015.2	Bac	80840	119060	32008	28450	Burkholderia_pseudomallei	['NZ_CP009585', 'NZ_CP009586']
GCF_003717735.1	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_CP029872', 'NZ_CP029871']
GCF_001901315.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP010226', 'NZ_CP010227']
GCF_003994395.1	Bac	85011	2062	1883	45398	Streptomyces_griseoviridis	['NZ_CP034687']
GCF_003665275.1	Bac	1385	186817	1386	1423	Bacillus_subtilis	['NZ_CP032857', 'NZ_CP032858', 'NZ_CP032859']
GCF_003612695.1	Bac	135623	641	662	670	Vibrio_parahaemolyticus	['NZ_CP023472', 'NZ_CP023473']
GCF_003048375.1	Bac	213849	72294	194	199	Campylobacter_concisus	['NZ_CP021642', 'NZ_CP021643']
GCF_003010735.1	Bac	91347	543	570	573	Klebsiella_pneumoniae	['NZ_CP027612', 'NZ_CP027613', 'NZ_CP027614', 'NZ_CP027615', 'NZ_CP027616', 'NZ_CP027617']
GCF_001695715.1	Bac	80840	119060	32008	28450	Burkholderia_pseudomallei	['NZ_CP016638', 'NZ_CP016639']
GCF_000974465.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP010439']
GCF_003971565.1	Bac	186826	33958	1578	47770	Lactobacillus_crispatus	['NZ_CP026503', 'NZ_CP026504']
GCF_002213565.1	Bac	1385	186820	1637	1639	Listeria_monocytogenes	['NZ_CP007008']
GCF_002243535.1	Bac	186826	81852	51668	51669	Tetragenococcus_halophilus	['NZ_CP020017']
GCF_003966755.1	Bac	118969	118968	59195	676208	Candidatus_Rickettsiella_viridis	['NZ_AP018005']
GCF_003665415.1	Bac	72274	135621	286	317	Pseudomonas_syringae	['NZ_CP032871', 'NZ_CP032870']
GCF_000184925.1	Bac	186802	2304686	2304692	1515	Hungateiclostridium_thermocellum	['NC_017304']
GCF_001792835.1	Bac	72274	135621	286	287	Pseudomonas_aeruginosa	['NZ_CP015001']
GCF_001021975.1	Bac	200644	49546	59732	1324352	Chryseobacterium_gallinarum	['NZ_CP009928']
GCF_002804025.1	Bac	186328	33925	46239	219745	Mesoplasma_tabanidae	['NZ_CP024969']
GCF_003203695.1	Bac	91347	1903409	53335	470934	Pantoea_vagans	['NZ_CP020820', 'NZ_CP022517', 'NZ_CP022518', 'NZ_CP022519', 'NZ_CP022520']
GCF_002346045.1	Bac	80840	119060	32008	13373	Burkholderia_mallei	['NZ_CP009929', 'NZ_CP009930']
GCF_002447675.1	Bac	85007	1762	1763	1773	Mycobacterium_tuberculosis	['NZ_CP023613']
GCF_001895885.1	Bac	1385	186817	1386	561879	Bacillus_safensis	['NZ_CP018197', 'NZ_CP018198']
GCF_000264665.2	Bac	72274	135621	286	303	Pseudomonas_putida	['NC_017986', 'NZ_AY208917', 'NC_018746']
GCF_002812825.1	Bac	72274	135621	286	287	Pseudomonas_aeruginosa	['NZ_CP025049']
GCF_000168595.2	Bac	1385	186820	1637	1639	Listeria_monocytogenes	['NC_017547']
GCF_000012965.1	Bac	213849	72293	202746	39766	Sulfurimonas_denitrificans	['NC_007575']
GCF_002953295.1	Bac	91347	543	570	1463165	Klebsiella_quasipneumoniae	['NZ_CP014071', 'NZ_CP014072', 'NZ_CP014073']
GCF_003516205.1	Bac	85010	2070	40566	42197	Actinosynnema_pretiosum	['NZ_CP029607']
GCF_000597885.1	Bac	768507	200667	NO RANK	1257021	Flammeovirgaceae_bacterium_311	['NZ_CP004371']
GCF_000442645.1	Bac	85007	1653	1716	575200	Corynebacterium_maris	['NC_021915', 'NC_021920']
GCF_003429305.1	Bac	135622	267888	53246	43662	Pseudoalteromonas_piscicida	['NZ_CP031759', 'NZ_CP031760']
GCF_000582555.1	Bac	135619	135620	187492	187493	Thalassolituus_oleivorans	['NZ_CP006829']
GCF_002007625.1	Bac	186826	81852	1350	1352	Enterococcus_faecium	['NZ_CP019208', 'NZ_CP019209', 'NZ_CP019210', 'NZ_CP019211', 'NZ_CP019212']
GCF_003855555.1	Bac	91347	543	570	573	Klebsiella_pneumoniae	['NZ_CP034077']
GCF_001752905.1	Bac	118969	444	445	446	Legionella_pneumophila	['NZ_CP015935']
GCF_003722255.1	Bac	186826	1300	1357	1358	Lactococcus_lactis	['NZ_CP033606']
GCF_000292505.1	Bac	2085	2092	2093	2097	Mycoplasma_genitalium	['NC_018498']
GCF_001922485.1	Bac	85007	1762	1763	1773	Mycobacterium_tuberculosis	['NZ_CP018778']
GCF_000523045.1	Bac	1385	186817	1386	1423	Bacillus_subtilis	['NZ_AP012496']
GCF_002022105.1	Bac	200644	49546	308865	238	Elizabethkingia_meningoseptica	['NZ_CP016376']
GCF_001700735.1	Bac	1385	186817	1386	1049581	Bacillus_cellulasensis	['NZ_CP012330']
GCF_900243355.1	Bac	72274	135621	286	287	Pseudomonas_aeruginosa	['NZ_LT969519', 'NZ_LT969521', 'NZ_LT969520']
GCF_002162035.1	Bac	32003	90627	1778653	1985873	Sulfuriferula_sp._AH1	['NZ_CP021138', 'NZ_CP021139']
GCF_000172635.2	Bac	135622	72275	226	28108	Alteromonas_macleodii	['NC_018632']
GCF_001986595.1	Bac	80840	506	517	520	Bordetella_pertussis	['NZ_CP011697']
GCF_001895845.1	Bac	85007	1762	1763	1773	Mycobacterium_tuberculosis	['NZ_CP018300']
GCF_002078275.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP014641']
GCF_000486765.2	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_CP012346']
GCF_003031365.1	Bac	135614	32033	338	347	Xanthomonas_oryzae	['NZ_CP025609']
GCF_001509895.1	Bac	80840	506	517	520	Bordetella_pertussis	['NZ_CP010965']
GCF_000307185.1	Bac	186826	1300	1301	1334	Streptococcus_dysgalactiae	['NC_018712']
GCF_002116885.1	Bac	91347	543	570	573	Klebsiella_pneumoniae	['NZ_CP015120']
GCF_002753165.1	Bac	91347	543	570	573	Klebsiella_pneumoniae	['NZ_CP024535', 'NZ_CP024536', 'NZ_CP024537', 'NZ_CP024538', 'NZ_CP024539', 'NZ_CP024540', 'NZ_CP024541']
GCF_002117205.1	Bac	135623	641	662	672	Vibrio_vulnificus	['NZ_CP015512', 'NZ_CP015513', 'NZ_CP015514']
GCF_900637305.1	Bac	135615	868	2717	2718	Cardiobacterium_hominis	['NZ_LR134365']
GCF_001704275.1	Bac	85011	2062	1883	1971	Streptomyces_noursei	['NZ_CP011533']
GCF_000473305.1	Bac	171549	NO RANK	NO RANK	1400053	Bacteroidales_bacterium_CF	['NZ_CP006772']
GCF_003355415.1	Bac	206351	481	482	487	Neisseria_meningitidis	['NZ_CP031330']
GCF_900636895.1	Bac	186826	33958	1578	1579	Lactobacillus_acidophilus	['NZ_LR134325']
GCF_003176835.1	Bac	186826	1300	1357	1358	Lactococcus_lactis	['NZ_CP028160', 'NZ_CP028161']
GCF_001867125.1	Bac	85007	1653	1716	1719	Corynebacterium_pseudotuberculosis	['NZ_CP015189']
GCF_002812705.1	Bac	80840	506	222	217203	Achromobacter_spanius	['NZ_CP025030']
GCF_003932735.1	Bac	766	NO RANK	NO RANK	2486578	Rickettsiales_endosymbiont_of_Stachyamoeba_lipophora	['NZ_CP033611']
GCF_003971285.1	Bac	72274	468	475	480	Moraxella_catarrhalis	['NZ_CP034664']
GCF_003627755.1	Bac	356	82115	379	1312183	Rhizobium_jaguaris	['NZ_CP032694', 'NZ_CP032697', 'NZ_CP032696', 'NZ_CP032695']
GCF_001506305.1	Bac	213849	72294	194	197	Campylobacter_jejuni	['NZ_CP010477']
GCF_002078495.1	Bac	186826	1300	1357	1358	Lactococcus_lactis	['NZ_CP015905', 'NZ_CP016715', 'NZ_CP016716', 'NZ_CP016717', 'NZ_CP016718', 'NZ_CP016719']
GCF_003144075.1	Bac	1385	186820	1637	1639	Listeria_monocytogenes	['NZ_CP029372']
GCF_000521745.1	Bac	135625	712	476528	47735	Bibersteinia_trehalosi	['NZ_CP006955']
GCF_000021465.1	Bac	213849	72293	209	210	Helicobacter_pylori	['NC_011498', 'NC_011499']
GCF_003030145.1	Bac	91347	543	570	573	Klebsiella_pneumoniae	['NZ_CP028176', 'NZ_CP028177', 'NZ_CP028178', 'NZ_CP028179']
GCF_002028345.1	Bac	186328	2131	2132	315358	Spiroplasma_eriocheiris	['NZ_CP001973']
GCF_000013865.1	Bac	80840	80864	52972	296591	Polaromonas_sp._JS666	['NC_007948', 'NC_007949', 'NC_007950']
GCF_002214665.1	Bac	1385	90964	1279	1280	Staphylococcus_aureus	['NZ_CP016398', 'NZ_CP016399']
GCF_001433415.1	Bac	135623	641	662	670	Vibrio_parahaemolyticus	['NZ_CP009847', 'NZ_CP009848', 'NZ_CP009849']
GCF_000143965.1	Bac	453227	453228	453229	453230	Desulfarculus_baarsii	['NC_014365']
GCF_001941485.1	Bac	85007	1653	1716	1230998	Corynebacterium_frankenforstense	['NZ_CP009247']
GCF_000019145.1	Bac	204458	76892	75	366602	Caulobacter_sp._K31	['NC_010338', 'NC_010335', 'NC_010333']
GCF_000632415.1	Bac	91347	543	570	1134687	Klebsiella_michiganensis	['NZ_CP004887']
GCF_000835345.1	Bac	213849	72294	194	197	Campylobacter_jejuni	['NZ_CP010072', 'NZ_CP010073', 'NZ_CP010074']
GCF_000319225.1	Bac	NO RANK	NO RANK	33055	33056	Candidatus_Kinetoplastibacterium_crithidii	['NC_019815']
GCF_001304755.1	Bac	91347	1903411	629	630	Yersinia_enterocolitica	['NZ_CP009456', 'NZ_CP009457']
GCF_000227665.2	Bac	72273	135616	933	92245	Thiomicrospira_aerophila	['NZ_CP007030']
GCF_002110945.1	Bac	80840	119060	32008	28450	Burkholderia_pseudomallei	['NZ_CP018380', 'NZ_CP018381']
GCF_001456095.3	Bac	91347	543	570	573	Klebsiella_pneumoniae	['NZ_CP012992', 'NZ_CP014305', 'NZ_CP012993', 'NZ_CP012994', 'NZ_CP012995']
GCF_001729505.1	Bac	72274	135621	286	287	Pseudomonas_aeruginosa	['NZ_CP017149']
GCF_003717655.1	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_CP029864', 'NZ_CP029865']
GCF_003324855.1	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_CP030002', 'NZ_CP030003', 'NZ_CP030004']
GCF_002197085.1	Bac	356	82115	28105	382	Sinorhizobium_meliloti	['NZ_CP021812', 'NZ_CP021815', 'NZ_CP021816', 'NZ_CP021817', 'NZ_CP021813', 'NZ_CP021814']
GCF_003065485.1	Bac	85006	85023	235888	2079791	Salinibacterium_sp._CGMCC_1.16371	['NZ_CP026951']
GCF_002091395.1	Bac	171549	NO RANK	511434	511435	Candidatus_Azobacteroides_pseudotrichonymphae	['NZ_AP017913', 'NZ_AP017914', 'NZ_AP017915', 'NZ_AP017916', 'NZ_AP017917', 'NZ_AP017918', 'NZ_AP017919']
GCF_000259175.1	Bac	91347	1903414	586	588	Providencia_stuartii	['NC_017731']
GCF_900492165.1	Bac	186826	1300	1301	1308	Streptococcus_thermophilus	['NZ_LS974444']
GCF_001412635.1	Bac	186826	1300	1301	1328	Streptococcus_anginosus	['NZ_CP012805']
GCF_001663455.1	Bac	91347	543	570	573	Klebsiella_pneumoniae	['NZ_CP015130', 'NZ_CP015131', 'NZ_CP015133', 'NZ_CP015132']
GCF_003073935.1	Bac	91347	1903414	583	584	Proteus_mirabilis	['NZ_CP029133', 'NZ_CP029129', 'NZ_CP029130', 'NZ_CP029131', 'NZ_CP029132', 'NZ_CP029134']
GCF_000092365.1	Bac	2037	2049	28263	28264	Arcanobacterium_haemolyticum	['NC_014218']
GCF_000419405.1	Bac	72274	468	469	470	Acinetobacter_baumannii	['NC_021733', 'NC_021734']
GCF_900635875.1	Bac	91347	1903414	586	158850	Providencia_rustigianii	['NZ_LR134189']
GCF_000284135.1	Bac	1890424	1890428	1142	1148	Synechocystis_sp._PCC_6803	['NC_017038']
GCF_000092345.1	Bac	186802	31979	1485	1491	Clostridium_botulinum	['NC_017297', 'NC_017298']
GCF_000093065.1	Bac	91347	543	401618	401619	Candidatus_Riesia_pediculicola	['NC_014109', 'NC_013962']
GCF_001986435.1	Bac	80840	506	517	520	Bordetella_pertussis	['NZ_CP011689']
GCF_000008985.1	Bac	72273	34064	262	263	Francisella_tularensis	['NC_006570']
GCF_002024245.1	Bac	186826	81852	1350	1352	Enterococcus_faecium	['NZ_CP019970', 'NZ_CP019971', 'NZ_CP019972', 'NZ_CP019973', 'NZ_CP019974', 'NZ_CP019975', 'NZ_CP019976']
GCF_000316575.1	Bac	1161	1185	1186	99598	Calothrix_sp._PCC_7507	['NC_019682']
GCF_001792815.1	Bac	85006	85023	33882	1906742	Microbacterium_sp._BH-3-3-3	['NZ_CP017674']
GCF_002848465.1	Bac	1385	186820	1637	1639	Listeria_monocytogenes	['NZ_CP025438', 'NZ_CP025439']
GCF_003667765.1	Bac	1385	186817	1386	279826	Bacillus_foraminis	['NZ_CP033044', 'NZ_CP033045']
GCF_002290105.1	Bac	1385	186817	1386	1396	Bacillus_cereus	['NZ_CP023179', 'NZ_CP023180', 'NZ_CP023181', 'NZ_CP023182', 'NZ_CP023183']
GCF_000277795.1	Bac	2085	2092	2093	65123	Mycoplasma_wenyonii	['NC_018149']
GCF_002947235.1	Bac	91347	1903411	613	615	Serratia_marcescens	['NZ_CP026702', 'NZ_CP026703']
GCF_003482125.1	Bac	186802	186804	1870884	1496	Clostridioides_difficile	['NZ_CP012323']
GCF_000233435.1	Bac	200644	39782	34098	39768	Blattabacterium_sp._(Mastotermes_darwiniensis)	['NC_016146', 'NC_016150']
GCF_001746835.1	Bac	415000	134623	1961799	1838286	Lacunisphaera_limnophila	['NZ_CP016094']
GCF_003324775.1	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_CP029991']
GCF_001605195.1	Bac	80840	506	517	520	Bordetella_pertussis	['NZ_CP010843']
GCF_000015165.1	Bac	356	41294	374	288000	Bradyrhizobium_sp._BTAi1	['NC_009485', 'NC_009475']
GCF_003546955.1	Bac	1385	186817	1386	492670	Bacillus_velezensis	['NZ_CP032144']
GCF_003864115.1	Bac	91347	543	1330547	2492396	Kosakonia_sp._CCTCC_M2018092	['NZ_CP034225']
GCF_000010925.1	Bac	204441	433	434	438	Acetobacter_pasteurianus	['NC_017111', 'NC_017134', 'NC_017149', 'NC_017135', 'NC_017102', 'NC_017103', 'NC_017112']
GCF_002202175.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP021935', 'NZ_CP021936', 'NZ_CP021937', 'NZ_CP021938']
GCF_002893885.1	Bac	1385	186822	44249	1406	Paenibacillus_polymyxa	['NZ_CP025957']
GCF_001274595.1	Bac	135614	32033	40323	40324	Stenotrophomonas_maltophilia	['NZ_CP011010']
GCF_000027325.1	Bac	2085	2092	2093	2097	Mycoplasma_genitalium	['NC_000908']
GCF_002865825.1	Bac	186802	31979	1485	1491	Clostridium_botulinum	['NZ_CP013845', 'NZ_CP013846', 'NZ_CP013844']
GCF_900070325.1	Bac	186802	186803	1663717	1679721	Herbinix_luporum	['NZ_LN879430']
GCF_001986155.1	Bac	80840	506	517	520	Bordetella_pertussis	['NZ_CP011234']
GCF_001653375.1	Bac	213849	72293	209	210	Helicobacter_pylori	['NZ_CP011482']
GCF_003097535.1	Bac	200644	49546	237	2172098	Flavobacterium_pallidum	['NZ_CP029187']
GCF_000019205.1	Bac	213849	72294	194	201	Campylobacter_lari	['NC_012039', 'NC_012040']
GCF_001887575.1	Bac	80840	119060	32008	28450	Burkholderia_pseudomallei	['NZ_CP016911', 'NZ_CP016912']
GCF_002952655.1	Bac	213849	72293	209	210	Helicobacter_pylori	['NZ_CP024072']
GCF_001709295.1	Bac	91347	543	570	573	Klebsiella_pneumoniae	['NZ_CP016926', 'NZ_CP016924', 'NZ_CP016927', 'NZ_CP016925']
GCF_001987475.1	Bac	80840	506	517	520	Bordetella_pertussis	['NZ_CP011741']
GCF_002286035.1	Bac	80840	506	517	520	Bordetella_pertussis	['NZ_CP016960']
GCF_000148645.1	Bac	135622	267892	44011	44012	Ferrimonas_balearica	['NC_014541']
GCF_002080125.1	Bac	72274	468	475	480	Moraxella_catarrhalis	['NZ_CP018059', 'NZ_CP018060']
GCF_000523235.1	Bac	85007	85025	1817	37330	Nocardia_nova	['NZ_CP006850']
GCF_003073955.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP029122', 'NZ_CP029123']
GCF_000940825.1	Bac	135614	32033	338	347	Xanthomonas_oryzae	['NZ_CP007221']
GCF_000185985.2	Bac	91347	NO RANK	203804	251535	Candidatus_Blochmannia_vafer	['NC_014909']
GCF_003048255.1	Bac	91347	1903411	629	419257	Yersinia_massiliensis	['NZ_CP028487', 'NZ_CP028488', 'NZ_CP028489']
GCF_000165925.1	Bac	1385	186817	1386	1452	Bacillus_atrophaeus	['NC_014639']
GCF_002902945.1	Bac	80840	119060	1822464	75105	Paraburkholderia_caribensis	['NZ_CP026101', 'NZ_CP026102', 'NZ_CP026103', 'NZ_CP026104']
GCF_003004195.1	Bac	118969	444	445	446	Legionella_pneumophila	['NZ_CP021272', 'NZ_CP021273']
GCF_000931605.1	Bac	135625	712	724	727	Haemophilus_influenzae	['NZ_CP007471']
GCF_002859845.1	Bac	80840	506	517	35814	Bordetella_holmesii	['NZ_CP018890']
GCF_000772205.1	Bac	1385	186817	1386	1423	Bacillus_subtilis	['NZ_CP009611']
GCF_003253815.1	Bac	1385	186817	1386	1402	Bacillus_licheniformis	['NZ_CP021970']
GCF_002812405.1	Bac	85011	2062	1883	1495638	Streptomyces_sp._M56	['NZ_CP025018']
GCF_001402915.1	Bac	356	45401	46913	1736675	Devosia_sp._A16	['NZ_CP012945']
GCF_002843115.1	Bac	186826	1300	1301	1308	Streptococcus_thermophilus	['NZ_CP025216']
GCF_000506785.4	Bac	186802	31979	1485	1520	Clostridium_beijerinckii	['NZ_CP011966']
GCF_000807405.2	Bac	91347	543	547	158836	Enterobacter_hormaechei	['NZ_CP012165', 'NZ_CP010366', 'NZ_CP010363', 'NZ_CP012166', 'NZ_CP010364', 'NZ_CP010367', 'NZ_CP010365']
GCF_001715425.1	Bac	356	118882	234	29461	Brucella_suis	['NZ_CP016981', 'NZ_CP016982']
GCF_002262955.1	Bac	356	118882	234	29459	Brucella_melitensis	['NZ_CP022827', 'NZ_CP022828']
GCF_003815635.1	Bac	200644	49546	59732	1493872	Chryseobacterium_shandongense	['NZ_CP033915', 'NZ_CP033916']
GCF_000204665.1	Bac	1385	90964	1279	1280	Staphylococcus_aureus	['NC_017347']
GCF_001985045.1	Bac	80840	506	517	520	Bordetella_pertussis	['NZ_CP011173']
GCF_003018795.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP027352', 'NZ_CP027353', 'NZ_CP027354']
GCF_001157245.2	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_LT883153', 'NZ_LT883154']
GCF_001267395.1	Bac	186826	81852	1350	53345	Enterococcus_durans	['NZ_CP012366', 'NZ_CP012367', 'NZ_CP012368']
GCF_002997815.1	Bac	51291	809	810	83560	Chlamydia_muridarum	['NZ_CP027208']
GCF_003288035.1	Bac	186826	1300	1301	1311	Streptococcus_agalactiae	['NZ_CP021773']
GCF_003955775.1	Bac	72273	34064	262	263	Francisella_tularensis	['NZ_CP034466']
GCF_002838425.1	Bac	85004	31953	1678	1685	Bifidobacterium_breve	['NZ_CP021394']
GCF_002763615.1	Bac	356	118882	234	29459	Brucella_melitensis	['NZ_CP024653', 'NZ_CP024654']
GCF_001998885.1	Bac	186826	81852	2737	633807	Vagococcus_penaei	['NZ_CP019609']
GCF_000195535.1	Bac	72273	34064	262	263	Francisella_tularensis	['NC_017450']
GCF_000292485.1	Bac	2085	2092	2093	2097	Mycoplasma_genitalium	['NC_018497']
GCF_001641185.1	Bac	200644	49546	237	996	Flavobacterium_columnare	['NZ_CP015107']
GCF_003640605.1	Bac	186826	1300	1301	1314	Streptococcus_pyogenes	['NZ_CP031770']
GCF_004008035.1	Bac	80840	506	517	519	Bordetella_parapertussis	['NZ_CP025067']
GCF_003382815.1	Bac	135614	32033	338	347	Xanthomonas_oryzae	['NZ_CP031458']
GCF_003547115.1	Bac	72274	468	469	470	Acinetobacter_baumannii	['NZ_CP027183', 'NZ_CP027185', 'NZ_CP027184', 'NZ_CP027187', 'NZ_CP027186']
GCF_002442955.1	Bac	186826	81852	1350	1352	Enterococcus_faecium	['NZ_CP018128', 'NZ_CP018129', 'NZ_CP018130', 'NZ_CP018131', 'NZ_CP018132']
GCF_000471025.2	Bac	51291	809	810	1457153	Chlamydia_gallinacea	['NZ_CP015840', 'NZ_CP015841']
GCF_000765415.1	Bac	135623	641	662	666	Vibrio_cholerae	['NZ_CP007634', 'NZ_CP007635', 'NZ_CP007636']
GCF_002208885.2	Bac	135614	32033	40323	40324	Stenotrophomonas_maltophilia	['NZ_CP022053']
GCF_000730215.1	Bac	186826	1300	1301	1311	Streptococcus_agalactiae	['NZ_CP007631']
GCF_900149625.2	Bac	51291	809	810	83559	Chlamydia_suis	['NZ_LS398098']
GCF_003352225.1	Bac	186826	1300	1301	1307	Streptococcus_suis	['NZ_CP030124']
GCF_002073775.2	Bac	135623	641	662	670	Vibrio_parahaemolyticus	['NZ_CP020427', 'NZ_CP020428']
GCF_003226695.1	Bac	200644	39782	34098	164514	Blattabacterium_punctulatus	['NZ_CP029808', 'NZ_CP029809']
GCF_001635895.1	Bac	186826	1300	1301	1314	Streptococcus_pyogenes	['NZ_CP013838']
GCF_001431145.1	Bac	1385	186817	1386	1049581	Bacillus_cellulasensis	['NZ_CP012329']
GCF_000224535.1	Bac	213849	72293	209	210	Helicobacter_pylori	['NC_017378', 'NC_017377']
GCF_002407525.2	Bac	80840	119060	32008	292	Burkholderia_cepacia	['NZ_CP023518', 'NZ_CP023521', 'NZ_CP023520', 'NZ_CP023519']
GCF_000967895.1	Bac	135619	135620	188907	188908	Oleispira_antarctica	['NZ_FO203512']
GCF_000011445.1	Bac	2085	2092	2093	2102	Mycoplasma_mycoides	['NC_005364']
GCF_002869785.1	Bac	85007	85028	2060	57704	Tsukamurella_tyrosinosolvens	['NZ_CP019066']
GCF_002073635.2	Bac	204455	31989	265	147645	Paracoccus_yeei	['NZ_CP020442', 'NZ_CP020441', 'NZ_CP020440', 'NZ_CP020443', 'NZ_CP020444', 'NZ_CP020445', 'NZ_CP020446', 'NZ_CP020447']
GCF_000015325.1	Bac	80840	80864	12916	80869	Acidovorax_citrulli	['NC_008752']
GCF_002090335.1	Bac	85011	2062	1883	1961713	Streptomyces_sp._MOE7	['NZ_CP019779']
GCF_900095165.1	Bac	80840	119060	44013	576610	Polynucleobacter_necessarius	['NZ_LT606947']
GCF_000195395.4	Bac	1385	186820	1637	1639	Listeria_monocytogenes	['NC_021829']
GCF_003851205.1	Bac	72274	135621	286	587753	Pseudomonas_chlororaphis	['NZ_CP027741']
GCF_000265545.2	Bac	85007	1653	1716	1719	Corynebacterium_pseudotuberculosis	['NC_018019']
GCF_002218285.1	Bac	135614	32033	338	346	Xanthomonas_citri	['NZ_CP022270']
GCF_002999415.1	Bac	186328	33925	46239	2151	Mesoplasma_florum	['NZ_CP022512']
GCF_002356195.1	Bac	2037	2049	1654	1851395	Actinomyces_sp._Chiba101	['NZ_AP017896']
GCF_000818035.1	Bac	206351	481	482	495	Neisseria_elongata	['NZ_CP007726']
GCF_003667885.1	Bac	1385	186817	1386	72361	Bacillus_vallismortis	['NZ_CP033052']
GCF_002208865.2	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP022050', 'NZ_CP022051', 'NZ_CP022052']
GCF_000389965.1	Bac	85008	28056	1865	649831	Actinoplanes_sp._N902-109	['NC_021191']
GCF_003515445.1	Bac	80840	119060	48736	305	Ralstonia_solanacearum	['NZ_CP022798', 'NZ_CP022799']
GCF_001677515.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP013662', 'NZ_CP012501']
GCF_001682335.1	Bac	1385	90964	1279	283734	Staphylococcus_pseudintermedius	['NZ_CP016072']
GCF_003665595.1	Bac	91347	543	544	546	Citrobacter_freundii	['NZ_CP024679']
GCF_001989075.1	Bac	80840	506	517	520	Bordetella_pertussis	['NZ_CP013892']
GCF_002139875.1	Bac	213849	72294	194	1660076	Campylobacter_sp._RM12175	['NZ_CP018793', 'NZ_CP018794', 'NZ_CP018795']
GCF_001543265.1	Bac	72274	135621	286	296	Pseudomonas_fragi	['NZ_CP013861']
GCF_003052665.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP028703']
GCF_000231885.1	Bac	186826	1300	1301	1307	Streptococcus_suis	['NC_017620']
GCF_000755805.1	Bac	80840	119060	32008	292	Burkholderia_cepacia	['NZ_CP007787', 'NZ_CP007786', 'NZ_CP007785']
GCF_002736125.1	Bac	72274	135621	286	303	Pseudomonas_putida	['NZ_CP024085']
GCF_001985765.1	Bac	80840	506	517	520	Bordetella_pertussis	['NZ_CP012078']
GCF_002117185.1	Bac	186826	81850	1243	1245	Leuconostoc_mesenteroides	['NZ_CP015442']
GCF_000212975.1	Bac	80840	506	517	520	Bordetella_pertussis	['NC_017223']
GCF_001014305.1	Bac	186826	1300	1301	1314	Streptococcus_pyogenes	['NZ_CP011415']
GCF_003288355.1	Bac	72274	135621	286	287	Pseudomonas_aeruginosa	['NZ_CP030328']
GCF_001742145.1	Bac	91347	1903410	122277	1905730	Pectobacterium_parmentieri	['NZ_CP015749']
GCF_000020965.1	Bac	203487	203488	13	14	Dictyoglomus_thermophilum	['NC_011297']
GCF_001314945.1	Bac	186826	33958	1578	148814	Lactobacillus_kunkeei	['NZ_CP012920']
GCF_002139955.1	Bac	135614	32033	338	346	Xanthomonas_citri	['NZ_CP020885', 'NZ_CP020886', 'NZ_CP020887', 'NZ_CP020888']
GCF_001729785.1	Bac	91347	543	547	158836	Enterobacter_hormaechei	['NZ_CP017183']
GCF_001975555.1	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_CP019415']
GCF_001620025.1	Bac	85007	85025	1827	1653478	Rhodococcus_sp._PBTS_1	['NZ_CP015219']
GCF_002892575.1	Bac	171549	171551	836	837	Porphyromonas_gingivalis	['NZ_CP025930']
